sample_id,big_region,sub_region,fastq1,fastq2
population2_ZA04,population2,ZA04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZA04/DP8450001406BR_L01_315_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZA04/DP8450001406BR_L01_315_2.fq.gz
population2_ZA05,population2,ZA05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZA05/DP8450001406BR_L01_304_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZA05/DP8450001406BR_L01_304_2.fq.gz
population2_ZH01,population2,ZH01,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH01/DP8450001333TR_L01_457_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH01/DP8450001333TR_L01_457_2.fq.gz
population2_ZH02,population2,ZH02,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH02/DP8450001333TR_L01_461_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH02/DP8450001333TR_L01_461_2.fq.gz
population2_ZH03,population2,ZH03,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH03/DP8450001333TR_L01_462_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH03/DP8450001333TR_L01_462_2.fq.gz
population2_ZH04,population2,ZH04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH04/DP8450001333TR_L01_463_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH04/DP8450001333TR_L01_463_2.fq.gz
population2_ZH05,population2,ZH05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH05/DP8450001333TR_L01_464_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH05/DP8450001333TR_L01_464_2.fq.gz
population2_ZH06,population2,ZH06,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH06/DP8450001333TR_L01_465_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH06/DP8450001333TR_L01_465_2.fq.gz
population2_ZH07,population2,ZH07,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH07/DP8450001333TR_L01_466_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH07/DP8450001333TR_L01_466_2.fq.gz
population2_ZH08,population2,ZH08,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH08/DP8450001333TR_L01_467_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH08/DP8450001333TR_L01_467_2.fq.gz
