sample_id,assay,region,group,temperature,phase,time,replicate,batch,rin,fastq1,fastq2
HT40_T2h_R1,RNAseq,A,HT40,40,stress,2h,1,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R1_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R1_2.fq.gz
HT40_T2h_R2,RNAseq,A,HT40,40,stress,2h,2,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R2_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R2_2.fq.gz
HT40_T2h_R3,RNAseq,A,HT40,40,stress,2h,3,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R3_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R3_2.fq.gz
HT40_T2h_R4,RNAseq,A,HT40,40,stress,2h,4,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R4_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R4_2.fq.gz
HT40_T2h_R5,RNAseq,A,HT40,40,stress,2h,5,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R5_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T2h_R5_2.fq.gz
HT40_T3d_R1,RNAseq,A,HT40,40,stress,3d,1,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T3d_R1_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T3d_R1_2.fq.gz
HT40_T7d_R1,RNAseq,A,HT40,40,stress,7d,1,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R1_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R1_2.fq.gz
HT40_T7d_R2,RNAseq,A,HT40,40,stress,7d,2,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R2_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R2_2.fq.gz
HT40_T7d_R3,RNAseq,A,HT40,40,stress,7d,3,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R3_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R3_2.fq.gz
HT40_T7d_R4,RNAseq,A,HT40,40,stress,7d,4,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R4_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R4_2.fq.gz
HT40_T7d_R5,RNAseq,A,HT40,40,stress,7d,5,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R5_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HT40_T7d_R5_2.fq.gz
HTR_T1d_R1,RNAseq,A,HTR,25,recovery,1d,1,b1,,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HTR_T1d_R1_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/wangliwei0813051/X101SC25046633-Z01-J006/01.RawData/HTR_T1d_R1_2.fq.gz
